what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537451343
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537469828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537476875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537477453
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1276537478875
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537482156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537488859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537496890
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537500921
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537624046
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537625578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537627609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537628625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537629281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537629765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537633781
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537662187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537664640
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537717906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537719015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537719515
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537721109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537747281
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537758625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537760687
