what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1275401760000
java.specification.name,sysinfo,,,"Java Platform API Specification",1275401760000
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275401760000
java.specification.version,sysinfo,,,"1.6",1275401760000
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1275401760000
java.version,sysinfo,,,"1.6.0_19",1275401760000
java.vm.info,sysinfo,,,"mixed mode, sharing",1275401760000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275401760000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275401760000
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275401760000
java.vm.specification.version,sysinfo,,,"1.0",1275401760000
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1275401760000
java.vm.version,sysinfo,,,"16.2-b04",1275401760000
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1275401760390
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1275401760390
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1275401760531
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1275401760562
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1275401760656
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1275401760671
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1275401760921
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1275401760953
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1275401760984
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1275401761187
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1275401761203
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1275401761234
