what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1275313300218
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1275313300265
started,bundle,org.eclipse.jface,3.5.1.M20090826-0800,"org.eclipse.jface",1275313300265
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1275313300265
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1275313300265
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1275313300328
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1275313300343
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1275313300343
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1275313300343
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1275313300359
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1275313300359
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1275313300359
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1275313300359
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1275313300359
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1275313300359
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1275313300359
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1275313300359
os,sysinfo,,,"win32",1275313300359
arch,sysinfo,,,"x86",1275313300359
ws,sysinfo,,,"win32",1275313300359
locale,sysinfo,,,"ko_KR",1275313300359
processors,sysinfo,,,"2",1275313300359
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275313300359
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1275313300359
java.specification.name,sysinfo,,,"Java Platform API Specification",1275313300359
