what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1275313301890
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1275313301953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275313471046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275313733984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275313735281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275313955218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275313956062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275313973765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275313974781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275314174203
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1275314177984
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1275314180484
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1275314180578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1275314191015
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1275314192234
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1275314194203
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1275314201343
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1275314206671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275314212078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275314228640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275314278203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275314851375
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1275314852593
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1275314853562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275314855109
