what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537336625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537338406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537339859
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537344531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537345750
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537350234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537351546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537352203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537354078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537365515
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537369500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537370421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537390343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537397343
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537400234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537405875
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537406765
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537410812
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537412843
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537416046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537417468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537418078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537418406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537430953
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537441562
