what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1275401761328
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1275401761359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1275401771234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1275401772031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275401773609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275401775093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275401777500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275402421750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275402422250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275403503640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275403525234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275403526406
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275403526703
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1275403527468
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1275403527609
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1275403527656
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1275403527750
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1275403527812
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1275403527812
