what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275314856031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275314856203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315055593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315058843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315061281
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1275315073406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315074531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315116000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315116468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315184765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315189156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315197812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275315230625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275353528390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275353529875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275353532046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275353532859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275354171343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275354171546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275354174375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275354178656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275354180078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275354180140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275354181171
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275354181546
