what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541073531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276541110468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541112406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541113328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541114218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541141421
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.shiftLeft",1276541154171
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.shiftLeft",1276541154406
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.shiftLeft",1276541154609
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.shiftLeft",1276541154843
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.shiftLeft",1276541155031
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.shiftLeft",1276541155312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541165390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541626437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541627656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541628671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541628781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541629671
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276541630109
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1276541631078
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1276541631171
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1276541631218
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1276541631437
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1276541631468
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1276541631468
