what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1276539096171
os,sysinfo,,,"win32",1276539096187
arch,sysinfo,,,"x86",1276539096187
ws,sysinfo,,,"win32",1276539096187
locale,sysinfo,,,"ko_KR",1276539096187
processors,sysinfo,,,"2",1276539096187
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276539096187
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1276539096187
java.specification.name,sysinfo,,,"Java Platform API Specification",1276539096187
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276539096187
java.specification.version,sysinfo,,,"1.6",1276539096187
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276539096187
java.version,sysinfo,,,"1.6.0_19",1276539096187
java.vm.info,sysinfo,,,"mixed mode, sharing",1276539096187
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1276539096187
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1276539096187
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276539096187
java.vm.specification.version,sysinfo,,,"1.0",1276539096187
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1276539096187
java.vm.version,sysinfo,,,"16.2-b04",1276539096187
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1276539096328
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1276539096390
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1276539096515
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1276539096546
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1276539096562
