what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1276539096593
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1276539096656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276539099531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540556609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540561281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540586484
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276540598796
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276540602078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540603015
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276540603656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540605609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540613250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540615093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540637343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540642859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540643796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540704875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540709109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540714906
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276540745062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540746296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540747031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540749359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276540792109
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276540827437
