what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1276537177562
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537177812
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537183718
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537185218
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537188218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537191140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537192062
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537220609
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537226031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537229859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537230734
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537241781
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537242812
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537245578
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537248546
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537251625
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1276537252796
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537253625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276537260687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537262500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537263046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537265093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276537317093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276537324578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276537330734
